agaaus beitaw corlae cyadea cyamed daccup dacdac eladen hedarb hohpop kniexc kuneri lepsco metrob neslan rhosap vitluc altitude
0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 90 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 80 
0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 50 
0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 40 
0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 40 
0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 50 
0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 70 
1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 100 
1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 120 
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 60 
1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 70 
1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 90 
0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 30 
1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 110 
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 40 
1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 80 
0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 50 
1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 60 
0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 40 
1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 80 
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 50 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 50 
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 100 
0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 60 
1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 60 
0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 20 
0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 140 
1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 60 
0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 80 
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 60 
0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 60 
1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 50 
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 40 
0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 60 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 90 
1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 140 
1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 140 
0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 180 
0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 200 
0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 160 
0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 80 
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 200 
0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 90 
0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 60 
0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 200 
0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 40 
0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 60 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 75 
0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 78 
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 60 
1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 60 
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 60 
0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 100 
0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 80 
1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 60 
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 170 
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 140 
0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 100 
1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 80 
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 80 
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 80 
0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 70 
0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 90 
0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 70 
0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 50 
1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 100 
1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 95 
0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 1 1 100 
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 90 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 90 
0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 80 
0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 70 
1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 35 
0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 25 
1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 60 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 35 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 60 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 3 
0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 20 
1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 100 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 60 
0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 60 
1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 220 
0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 200 
1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 160 
0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 140 
0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 160 
1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 180 
0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 40 
1 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 200 
0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 70 
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 80 
0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 60 
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 60 
1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 100 
1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 150 
1 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 180 
1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 160 
1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 260 
0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 115 
1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 270 
1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 240 
0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 90 
1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 100 
0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 100 
0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 340 
1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 300 
0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 290 
0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 380 
0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 240 
1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 40 
1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 50 
0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 60 
0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 105 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 100 
0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 200 
1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 140 
0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 60 
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 80 
1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 100 
0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 1 1 40 
0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 220 
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 80 
1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 120 
0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 200 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 40 
1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 60 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 70 
0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 220 
0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 160 
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 180 
0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 180 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 120 
0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 1 120 
0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 130 
0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 190 
1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 100 
0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 1 90 
1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 80 
1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 220 
0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 1 220 
1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 190 
0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 140 
0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 100 
1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 180 
0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 100 
0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 80 
0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 85 
0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 60 
0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 60 
0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 80 
1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 160 
0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 150 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 130 
0 1 0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 30 
