year   male female       nz
1867   1213      6   217416
1871   2637      4   254948
1874   4814      2   344985
1878   4424      9   458007
1881   4995      9   534030
1886   4527     15   620451
1891   4426     18   668652
1896   3773     86   743214
1901   2885     78   815862
1906   2515     55   936309
1911   2542     88  1058313
1916   2017    130  1149225
1921   2993    273  1271667
1926   2927    447  1408140
1936   2432    511  1573812
1945   3414   1526  1702329
1951   3633   2090  1939473
1956   4026   2705  2174061
1961   4913   3611  2414985
1966   5700   4563  2676918
1971   7025   5793  2862630
1976   8081   6779  3129384
1981   8649   8004  3143307
1986   9903   9603  3263283
1991  18750  18939  3373926
1996  39624  42696  3618303
2001  50460  55020  3737277
