age  nolnor nolr lnor lr 
  16   2   0   0   0 
  17  16   0   0   1 
  18  34   1   2   0 
  19  65   1   4   3 
  20 126   4   6   1 
  21 117   6   4   0 
  22 115   4  12   6 
  23 160   6  13  10 
  24 174   2   8   5 
  25 153   3  10   2 
  26 164   2  18  12 
  27 178   4  21   4 
  28 184   2  11   4 
  29 216   4  17   6 
  30 209   2  23   9 
  31 198   5  19   9 
  32 216   7  19  11 
  33 217   6  14   6 
  34 196   0  16   6 
  35 239   3  16  12 
  36 257   7  22   6 
  37 233   3  20   5 
  38 199   8  23   9 
  39 231   4  20  11 
  40 240   5  21   9 
  41 250   1  16  12 
  42 216   2  16  10 
  43 258   2  14   7 
  44 261  12  15   7 
  45 255   5  10   5 
  46 260   3  18   4 
  47 194   2  18   7 
  48 207   4  14   6 
  49 177   7  13   5 
  50 184   2  14   7 
  51 232   7   9   3 
  52 172   3  15   7 
  53 157   4  12   6 
  54 188   2  10   4 
  55 138   2   4   2 
  56 151   1  12   3 
  57 122   1   6   6 
  58 113   3   7   2 
  59 106   3   4   2 
  60 106   1   8   6 
  61  69   1   3   3 
  62  52   0   3   3 
  63  50   1   5   0 
  64  62   0   1   2 
  65  49   0   2   1 
  66  39   0   6   2 
  67  44   0   2   0 
  68  41   0   3   2 
  69  40   1   1   1 
  70  43   1   0   5 
  71  38   0   2   2 
  72  60   1   3   2 
  73  63   1   9   1 
  74  45   2   1   3 
  75  43   0   3   2 
  76  51   0   4   3 
  77  49   3   1   1 
  78  73   1   2   5 
  79  43   0   7   3 
  80  39   0   6   2 
  81  51   1   2   2 
  82  30   0   5   4 
  83  28   1   2   4 
  84  27   0   5   2 
  85  20   0   3   2 
  86   5   0   0   0 
  87   3   0   0   0 
  88   3   0   0   0 
