 wheat.flour corn wheat   rye 
        5.58 1.12  1.62 1.075
        5.46 1.15  1.58 1.064
        5.50 1.18  1.56 1.158
        5.53 1.09  1.39 1.073
        5.63 1.15  1.28 1.125
        5.65 1.13  1.28 1.070
        5.70 1.18  1.36 1.298
        5.68 1.15  1.46 1.168
        5.75 1.11  1.45 1.205
        5.66 1.11  1.47 1.298
        5.70 1.14  1.51 1.320
        5.75 1.12  1.53 1.295
        5.75 1.09  1.52 1.298
        5.78 1.11  1.52 1.293
        5.72 1.11  1.54 1.253
        5.80 1.12  1.59 1.228
        5.95 1.16  1.65 1.230
        6.09 1.15  1.63 1.278
        6.25 1.12  1.62 1.125
        6.37 1.14  1.57 1.145
        6.45 1.13  1.59 1.120
        6.44 1.12  1.55 1.148
        6.46 1.10  1.59 1.164
        6.39 1.17  1.58 1.210
        6.03 1.21  1.60 1.258
        6.05 1.21  1.63 1.228
        6.02 1.20  1.64 1.195
        6.15 1.21  1.68 1.233
        6.09 1.23  1.63 1.196
        6.05 1.30  1.38 1.220
        5.70 1.34  1.30 1.205
        5.28 1.34  1.30 1.185
        5.76 1.36  1.47 1.355
        5.98 1.22  1.64 1.433
        6.41 1.18  1.69 1.420
        6.83 1.23  1.69 1.423
        6.45 1.26  1.78 1.463
        6.90 1.23  1.75 1.376
        6.64 1.24  1.48 1.303
        6.68 1.26  1.66 1.280
        6.70 1.29  1.54 1.263
        6.53 1.26  1.43 1.265
        7.09 1.23  1.46 1.245
        6.70 1.25  1.44 1.210
        6.73 1.30  1.52 1.280
        6.84 1.25  1.50 1.236
        6.90 1.19  1.56 1.233
        6.90 1.28  1.59 1.185
        6.68 1.29  1.57 1.184
        6.70 1.31  1.58 1.160
        6.70 1.34  1.56 1.190
        6.70 1.35  1.56 1.170
        6.70 1.37  1.46 1.173
        6.90 1.36  1.45 1.100
        7.07 1.33  1.43 1.001
        7.10 1.29  1.53 1.088
        7.10 1.31  1.54 1.111
        7.20 1.27  1.53 1.105
        7.28 1.17  1.66 1.125
        7.21 1.24  1.74 1.180
        7.22 1.32  1.71 1.243
        7.22 1.32  1.75 1.225
        7.22 1.26  1.67 1.155
        7.19 1.30  1.65 1.268
        7.20 1.32  1.67 1.153
        7.63 1.31  1.77 1.130
        8.07 1.42  1.90 1.280
        8.09 1.45  1.89 1.248
        7.92 1.46  1.92 1.243
        7.72 1.40  1.69 1.158
        7.73 1.35  1.75 1.160
        7.62 1.44  1.83 1.218
        7.35 1.44  1.80 1.203
        7.48 1.39  1.68 1.163
        7.55 1.42  1.83 1.208
        7.27 1.38  1.80 1.188
        7.43 1.39  1.67 1.180
        7.34 1.38  1.57 1.160
        7.40 1.33  1.48 1.191
        7.29 1.21  1.42 1.099
        7.27 1.20  1.45 1.173
        7.24 1.20  1.49 1.140
        7.18 1.08  1.44 1.118
        7.21 1.18  1.50 1.148
        7.18 1.15  1.52 1.154
        7.04 1.17  1.56 1.190
        6.94 1.14  1.51 1.179
        6.76 1.16  1.46 1.145
        6.78 1.21  1.47 1.130
        6.77 1.16  1.26 1.073
        6.73 1.15  1.29 1.125
        6.72 1.08  1.19 1.046
        6.85 1.08  1.18 1.119
        6.89 1.10  1.28 1.145
        6.90 1.17  1.36 1.169
        6.85 1.15  1.34 1.168
        6.85 1.19  1.43 1.205
        6.83 1.17  1.40 1.201
        6.76 1.17  1.35 1.215
        6.75 1.22  1.36 1.215
        6.75 1.31  1.40 1.240
        6.75 1.32  1.33 1.205
        6.92 1.30  1.30 1.185
        6.86 1.29  1.28 1.035
        6.78 1.27  1.33 1.055
        6.89 1.27  1.33 1.105
        6.95 1.16  1.42 1.115
        7.14 1.18  1.48 1.135
        7.14 1.26  1.50 1.135
        7.17 1.26  1.52 1.135
        7.19 1.25  1.54 1.145
        7.19 1.29  1.54 1.165
        7.19 1.32  1.55 1.165
        7.20 1.36  1.40 1.215
        7.16 1.39  1.43 1.085
        7.21 1.37  1.45 1.065
        7.20 1.45  1.68 1.085
        7.35 1.44  1.67 1.085
        7.43 1.42  1.74 1.145
        7.50 1.33  1.63 1.165
        7.45 1.39  1.72 1.155
        7.45 1.40  1.74 1.165
        7.45 1.36  1.68 1.135
        7.51 1.33  1.66 1.145
        7.58 1.31  1.66 1.185
        7.55 1.38  1.63 1.165
        7.52 1.30  1.44 1.035
        7.48 1.29  1.31 0.875
        7.48 1.17  1.33 0.945
        7.48 1.12  1.39 0.965
        7.48 1.09  1.49 0.895
        7.48 1.26  1.60 0.980
        7.28 1.23  1.58 1.030
        7.15 1.21  1.52 1.050
        7.15 1.23  1.58 1.030
        7.15 1.25  1.68 1.040
        7.07 1.28  1.67 1.060
        7.07 1.28  1.36 0.990
        7.07 1.30  1.47 0.980
        7.66 1.29  1.60 0.960
        8.39 1.39  1.86 0.990
        8.57 1.31  1.92 1.01
