maxtemp year
89 1901
84 1902
84 1903
85 1904
81 1905
92 1906
79 1907
84 1908
85 1909
79 1910
95 1911
87 1912
83 1913
87 1914
82 1915
83 1916
89 1917
84 1918
86 1919
79 1920
89 1921
86 1922
93 1923
86 1924
85 1925
85 1926
80 1927
87 1928
87 1929
89 1930
75 1931
95 1932
89 1933
86 1934
86 1935
83 1936
87 1937
84 1938
84 1939
85 1940
89 1941
88 1942
92 1943
87 1944
84 1945
84 1946
90 1947
90 1948
89 1949
86 1950
82 1951
89 1952
90 1953
83 1954
87 1955
82 1956
86 1957
80 1958
91 1959
82 1960
87 1961
77 1962
81 1963
87 1964
81 1965
80 1966
83 1967
89 1968
88 1969
88 1970
84 1971
77 1972
85 1973
77 1974
91 1975
94 1976
80 1977
80 1978
85 1979
83 1980
